,PRC,CIS,ESA,FRANCE,INDIA,JAPAN,UK,USA,OTHER,CHINA
1996,,,,,,,,,,
1997,,2521,174,,3,55,,3333,23,96
1998,,2519,201,,4,55,,3220,25,101
1999,,2579,213,,4,49,,3139,25,101
2000,,2579,234,,4,49,,2959,23,102
2001,,2553,238,,5,45,,2871,26,338
2002,,2529,288,,7,47,,2825,27,310
2003,,,,,,,,,,
2004,,2606,305,,113,48,,2795,32,283
2005,,2636,29,282,107,50,,2878,19,305
2006,,2680,33,300,111,55,,2949,20,310
2007,,2913,36,314,105,68,,3103,27,334
2008,,2951,36,321,106,69,,3119,91,2634
2009,,3036,36,331,111,69,,3161,96,2695
2010,,4258,44,421,132,73,,3686,115,3062
2011,,4646,44,431,132,75,,3691,112,3388
2012,,4670,44,435,129,72,,3692,112,3497
2013,,4864,45,437,125,82,,3811,118,3638
2014,,4737,45,442,119,82,,3787,119,3609
2015,,4896,46,447,111,73,,3752,120,3580
2016,,4808,53,460,112,75,,4145,115,3576
2017,,4838,60,470,114,92,,4314,112,3573
2018,,5003,56,483,115,100,,4687,114,3594
2019,,5063,56,492,118,115,,4792,123,3673
2020,,5113,58,509,135,115,,4880,123,3718
2021,,5696,56,510,119,145,,4998,123,3810
2022,,7032,60,520,114,117,1,5216,97,3854
2023,,5970,57,516,105,112,1,5172,92,4299
2024,,5603,31,534,101,113,1,5056,86,4374
2025,4810,5321,27,531,85,100,1,4883,97,
