"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Contractor,Country of Operator/Owner,Purpose,Detailed Purpose,Class of Orbit,Launch Mass (kg.), Dry Mass (kg.) ,Date of Launch
1HOPSAT-TD (1st-generation High Optical Performance Satellite),NR,USA,USA,Earth Observation,Infrared Imaging,LEO,22,,11/12/2019
AAC AIS-Sat1 (Kelpie 1),United Kingdom,Sweden/UK/USA/Netherlands,United Kingdom,Earth Observation,Automatic Identification System (AIS),LEO,4, 4 ,3/01/2023
Aalto-1 ,Finland,Finland,Finland,Technology Development,,LEO,5,,23/06/2017
AAt-4,Denmark,Denmark,Denmark,Earth Observation,Automatic Identification System (AIS),LEO,1,,25/04/2016
"ABS-2 (Koreasat-8, ST-3)",NR,USA,Multinational,Communications,,GEO,"6,330",,6/02/2014
ABS-2A,NR,USA,Multinational,Communications,,GEO,"1,800",,15/06/2016
ABS-3A ,NR,USA,Multinational,Communications,,GEO,"2,000",,2/03/2015
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",NR,USA,Multinational,Communications,,GEO,"4,143"," 1,700 ",13/03/2004
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",NR,USA,Multinational,Communications,,GEO,"2,894"," 1,730 ",26/09/1999
Adelis-Sampson 1,NR,Israel,Israel,Technology Development,,LEO,9,,22/03/2021
Adelis-Sampson 2,NR,Israel,Israel,Technology Development,,LEO,9,,22/03/2021
Adelis-Sampson 3,NR,Israel,Israel,Technology Development,,LEO,9,,22/03/2021
ADLER-2,NR (9/23),USA,Austria,Earth Science,,LEO,12, 12 ,15/04/2023
"Advanced Orion 10 (Mentor, NRO L-44, USA 311)",USA,USA,USA,Earth Observation,Electronic Intelligence,GEO,"5,400",,11/12/2020
"Advanced Orion 4 (Mentor, NROL 6, USA 139)",USA,USA,USA,Earth Observation,Electronic Intelligence,GEO,"5,200",,9/05/1998
"Advanced Orion 5 (Mentor, NROL 19, USA 171)",USA,USA,USA,Earth Observation,Electronic Intelligence,GEO,"5,200",,9/09/2003
"Advanced Orion 6 (Mentor, NRO L-26, USA 202)",USA,USA,USA,Earth Observation,Electronic Intelligence,GEO,"5,400",,18/01/2009
"Advanced Orion 7 (Mentor, NRO L-32, USA 223)",USA,USA,USA,Earth Observation,Electronic Intelligence,GEO,"5,000",,21/11/2010
"Advanced Orion 8 (Mentor, NRO L-15, USA 237)",USA,USA,USA,Earth Observation,Electronic Intelligence,GEO,"5,000",,29/06/2012
"Advanced Orion 9 (Mentor, NRO L-37, USA 268)",USA,USA,USA,Earth Observation,Electronic Intelligence,GEO,"5,000",,11/06/2016
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",NR,USA,USA,Communications,,GEO,"6,169",,18/09/2013
"AEHF-4 (Advanced Extremely High Frequency satellite-4, USA 288)",USA,USA,USA,Communications,,GEO,"6,169",,17/10/2018
"AEHF-5 (Advanced Extremely High Frequency satellite-5, USA 29USA 2)",USA,USA,USA,Communications,,GEO,"6,169",,8/08/2019
"AEHF-6 (Advanced Extremely High Frequency satellite-6, USA 298)",USA,USA,USA,Communications,,GEO,"6,169",,26/03/2020
"AEHF-USA 2 (Advanced Extremely High Frequency satellite-USA 2, USA 235)",USA,USA,USA,Communications,,GEO,"6,169",,3/05/2012
Aeneas,USA,USA,USA,Technology Development,,LEO,3,,13/09/2012
Aeolus,ESA,France/UK/Germany/Spain,ESA,Earth Observation,Earth Science,LEO,"1,367",,22/08/2018
Aerocube 11A (TOMSat Eagle Scout),USA,USA,USA,Technology Development,,LEO,4,,17/12/2018
Aerocube 11B (TOMSat R3),USA,USA,USA,Technology Development,,LEO,4,,17/12/2018
Aerocube 12A,USA,USA,USA,Technology Development,,LEO,4,,16/07/2018
Aerocube 12B,USA,USA,USA,Technology Development,,LEO,4,,16/07/2018
Aerocube 14A,USA,USA,USA,Technology Development,,LEO,,,31/01/2020
Aerocube 14B,USA,USA,USA,Technology Development,,LEO,,,31/01/2020
Aerocube 15A,USA,USA,USA,Technology Development,,LEO,,,31/01/2020
Aerocube 5C,USA,USA,USA,Technology Development,,LEO,2,,8/10/2015
Aerocube 6A,USA,USA,USA,Technology Development,,LEO,5,,19/06/2014
Aerocube 6B,USA,USA,USA,Technology Development,,LEO,5,,19/06/2014
Aerocube 7A,USA,USA,USA,Technology Development,,LEO,2,,8/10/2015
Aerocube 8C,USA,USA,USA,Technology Development,,LEO,5,,11/11/2016
Aerocube 8D,USA,USA,USA,Technology Development,,LEO,2,,11/11/2016
"Afghansat-1 (Eutelsat 48D [Eutelsat 48B, Eutelsat W2M])",France,France,Multinational,Communications,,GEO,"3,460"," 1,555 ",20/12/2008
AII-Bravo,Lithuania,USA,Lithuania,Communications,,LEO,9,,29/04/2021
AII-Charlie,NR,USA,Lithuania,Communications,,LEO,9,,24/01/2021
AIM (Aeronomy of Ice in Mesosphere),USA,USA,USA,Earth Observation,Earth Science,LEO,215, 197 ,25/04/2007
AISSat-1 (Automatic Identification System Satellite-1),Norway,Canada,Norway,Communications,Automatic Identification System (AIS),LEO,6,,12/07/2010
AISSat-2 (Automatic Identification System Satellite-2),Norway,Norway/Canada,Norway,Communications,Automatic Identification System (AIS),LEO,6,,8/07/2014
AISTechSat-2,Spain,Denmark,Spain,Earth Observation,Automatic Identification System (AIS),LEO,3,,3/12/2018
AISTechSat-3,Spain,Denmark,Spain,Earth Observation,Automatic Identification System (AIS),LEO,2,,1/04/2019
Al Yah-3,Brazil,USA,United Arab Emirates,Communications,,GEO,"3,795",,25/01/2018
Al-Farabi-2,NR,Kazakhstan,Kazakhstan,Technology Development,,LEO,4,,3/12/2018
Alcomsat (Algerian Communications Satellite),Algeria,China,Algeria,Communications,,GEO,"5,225",,10/12/2017
ALE-2 (Astro Live Experiences-2),NR,Japan,Japan,Earth Science,,LEO,75,,6/12/2019
Alfa Crux,Brazil,Brazil,Brazil,Technology Development,,LEO,1,,1/04/2022
ALiCE  (AFIT LEO iMESA CNT E),NR,USA,USA,Technology Development,,LEO,5,,6/12/2013
Alsat-1B,Algeria,UK,Algeria,Earth Observation,Optical Imaging,LEO,103,,26/09/2016
Alsat-1N,Algeria,UK,Algeria,Technology Development,,LEO,10,,26/09/2016
Alsat-2A (Algeria Satellite 2A),Algeria,France/UK/Germany/Spain,Algeria,Earth Observation,Optical Imaging,LEO,130,,12/07/2010
Alsat-2B,Algeria,France/UK/Germany/Spain,Algeria,Earth Observation,Optical Imaging,LEO,117,,26/09/2016
Amazonas-2,Brazil,France/UK/Germany/Spain,Spain,Communications,Optical Imaging,GEO,"5,465",,1/10/2009
Amazonas-3,Brazil,USA,Spain,Communications,,GEO,"6,265"," 2,778 ",7/02/2013
Amazonas-4A,NR,USA,Spain,Communications,,GEO,"2,938",,22/03/2014
Amazonas-5,NR,USA,Spain,Communications,,GEO,"5,900",,12/09/2017
Amazonas-Nexus,Brazil,France/Italy,Spain,Communications,,GEO,"4,000"," 4,000 ",7/02/2023
Amazonia-1 (SSR-1),Brazil,Brazil,Brazil,Earth Observation,Optical Imaging,LEO,637,,28/02/2021
"AMC-11 (Americom-11, GE 11)",USA,USA,USA,Communications,,GEO,"2,340"," 2,316 ",19/05/2004
AMC-15 (Americom-15),USA,USA,USA,Communications,,GEO,"4,200",,14/10/2004
AMC-18 (Americom 18),USA,USA,USA,Communications,,GEO,"2,081", 918 ,8/12/2006
AMC-21 (Americom 21),United Kingdom,USA,USA,Communications,,GEO,"2,500",,14/08/2008
