Year,Geostationary orbit,High Earth orbit,Low Earth orbit,Medium Earth orbit
1958,,,2.0,
1959,,,7.0,
1960,,,19.0,
1961,,,29.0,2.0
1962,,,49.0,3.0
1963,1.0,2.0,74.0,9.0
1964,2.0,4.0,119.0,9.0
1965,3.0,6.0,209.0,15.0
1966,4.0,7.0,256.0,31.0
1967,8.0,9.0,314.0,55.0
1968,10.0,10.0,362.0,69.0
1969,15.0,12.0,412.0,78.0
1970,18.0,13.0,481.0,88.0
1971,23.0,15.0,593.0,89.0
1972,26.0,17.0,682.0,94.0
1973,30.0,22.0,769.0,95.0
1974,37.0,23.0,862.0,102.0
1975,49.0,24.0,990.0,110.0
1976,61.0,33.0,1134.0,116.0
1977,71.0,41.0,1229.0,129.0
1978,77.0,51.0,1311.0,139.0
1979,86.0,57.0,1340.0,148.0
1980,94.0,62.0,1369.0,160.0
1981,106.0,69.0,1465.0,174.0
1982,120.0,79.0,1527.0,186.0
1983,135.0,90.0,1638.0,203.0
1984,151.0,105.0,1754.0,231.0
1985,171.0,115.0,1881.0,253.0
1986,179.0,124.0,1986.0,266.0
1987,190.0,132.0,2083.0,280.0
1988,206.0,147.0,2146.0,296.0
1989,216.0,165.0,2189.0,322.0
1990,234.0,182.0,2291.0,341.0
1991,247.0,200.0,2352.0,357.0
1992,260.0,216.0,2421.0,381.0
1993,274.0,226.0,2501.0,401.0
1994,294.0,243.0,2584.0,422.0
1995,309.0,262.0,2630.0,439.0
1996,324.0,279.0,2686.0,447.0
1997,336.0,300.0,2803.0,465.0
1998,343.0,322.0,3262.0,472.0
1999,352.0,335.0,3323.0,497.0
2000,375.0,358.0,3348.0,518.0
2001,387.0,370.0,3327.0,529.0
2002,398.0,387.0,3337.0,539.0
2003,416.0,396.0,3374.0,557.0
2004,429.0,406.0,3400.0,572.0
2005,443.0,416.0,3418.0,584.0
2006,461.0,425.0,3467.0,598.0
2007,475.0,435.0,3532.0,614.0
2008,501.0,442.0,3591.0,635.0
2009,527.0,447.0,3659.0,656.0
2010,555.0,451.0,3717.0,679.0
2011,582.0,453.0,3764.0,707.0
2012,616.0,456.0,3819.0,727.0
2013,640.0,458.0,3953.0,749.0
2014,671.0,463.0,4005.0,786.0
2015,705.0,465.0,4057.0,823.0
2016,740.0,466.0,4133.0,845.0
2017,775.0,466.0,4430.0,862.0
2018,804.0,469.0,4670.0,910.0
2019,832.0,470.0,4972.0,938.0
2020,851.0,473.0,6058.0,949.0
2021,876.0,475.0,7605.0,959.0
2022,905.0,481.0,9489.0,981.0
2023,933.0,484.0,11487.0,1000.0
2024,953.0,486.0,12950.0,1021.0
